--Rotas do 1º turno-----------------------------
3 -> 146 (116)
22 -> 62 (198)
32 -> 620 (129)
62 -> 330 (198)
70 -> 32 (129)
89 -> 182 (184)
105 -> 89 (184)
107 -> 744 (123)
131 -> 27 (118)
146 -> 466 (116)
154 -> 549 (116)
182 -> 677 (184)
209 -> 564 (189)
335 -> 478 (123)
341 -> 646 (118)
355 -> 343 (197)
358 -> 355 (197)
396 -> 421 (129)
466 -> 736 (116)
471 -> 131 (118)
508 -> 670 (193)
564 -> 667 (189)
620 -> 396 (129)
646 -> 471 (118)
668 -> 502 (200)
736 -> 154 (116)
744 -> 335 (123)
Fluxo: 1647
Arestas removidas: 51985

--Rotas do 2º turno-----------------------------
3 -> 146 (116)
22 -> 62 (198)
32 -> 620 (129)
62 -> 330 (198)
70 -> 32 (129)
89 -> 182 (184)
102 -> 628 (23)
105 -> 89 (184)
107 -> 744 (123)
131 -> 27 (118)
146 -> 466 (116)
154 -> 549 (116)
182 -> 677 (184)
209 -> 564 (189)
335 -> 478 (123)
341 -> 646 (118)
355 -> 343 (197)
358 -> 355 (197)
396 -> 421 (129)
466 -> 736 (116)
471 -> 131 (118)
508 -> 670 (193)
564 -> 667 (189)
620 -> 396 (129)
628 -> 341 (23)
646 -> 471 (118)
668 -> 502 (200)
736 -> 154 (116)
744 -> 335 (123)
Fluxo: 1647
Arestas removidas: 52050

--Rotas do 3º turno-----------------------------
3 -> 146 (116)
22 -> 62 (198)
32 -> 620 (129)
62 -> 330 (198)
70 -> 32 (129)
89 -> 182 (184)
102 -> 628 (79)
105 -> 89 (184)
107 -> 744 (123)
131 -> 27 (79)
146 -> 466 (116)
154 -> 549 (116)
182 -> 677 (184)
209 -> 564 (189)
245 -> 471 (79)
335 -> 478 (123)
355 -> 343 (197)
358 -> 355 (197)
389 -> 245 (79)
396 -> 421 (129)
466 -> 736 (116)
471 -> 131 (79)
508 -> 670 (193)
564 -> 667 (189)
620 -> 396 (129)
628 -> 389 (79)
668 -> 502 (200)
736 -> 154 (116)
744 -> 335 (123)
Fluxo: 1608
Arestas removidas: 52142

--Rotas do 4º turno-----------------------------
3 -> 146 (116)
22 -> 62 (198)
32 -> 620 (129)
62 -> 330 (198)
70 -> 32 (129)
89 -> 182 (184)
102 -> 628 (79)
105 -> 89 (184)
107 -> 744 (123)
131 -> 27 (79)
146 -> 466 (116)
154 -> 549 (116)
182 -> 677 (184)
209 -> 564 (189)
245 -> 471 (79)
335 -> 478 (123)
355 -> 343 (197)
358 -> 355 (197)
389 -> 245 (79)
396 -> 421 (129)
466 -> 736 (116)
471 -> 131 (79)
508 -> 670 (193)
564 -> 667 (189)
620 -> 396 (129)
628 -> 389 (79)
668 -> 502 (200)
736 -> 154 (116)
744 -> 335 (123)
Fluxo: 1608
Arestas removidas: 52142

--Rotas do 5º turno-----------------------------
3 -> 146 (116)
22 -> 62 (198)
32 -> 620 (129)
62 -> 330 (198)
70 -> 32 (129)
89 -> 182 (184)
102 -> 628 (79)
105 -> 89 (184)
107 -> 744 (123)
131 -> 27 (79)
146 -> 466 (116)
154 -> 549 (116)
182 -> 677 (184)
209 -> 564 (189)
245 -> 471 (79)
335 -> 478 (123)
355 -> 343 (197)
358 -> 355 (197)
389 -> 245 (79)
396 -> 421 (129)
466 -> 736 (116)
471 -> 131 (79)
508 -> 670 (193)
564 -> 667 (189)
620 -> 396 (129)
