--Rotas do 1º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
24 -> 54 (170)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
54 -> 107 (170)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1699
Arestas removidas: 7031

--Rotas do 2º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
24 -> 54 (170)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
54 -> 107 (170)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1699
Arestas removidas: 7031

--Rotas do 3º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
24 -> 54 (78)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
54 -> 107 (78)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1607
Arestas removidas: 7031

--Rotas do 4º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 5º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 6º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 7º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 8º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 9º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 10º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 11º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 12º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 13º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1529
Arestas removidas: 7031

--Rotas do 14º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
29 -> 0 (14)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1346
Arestas removidas: 7031

--Rotas do 15º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

--Rotas do 16º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

--Rotas do 17º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

--Rotas do 18º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

--Rotas do 19º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

--Rotas do 20º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

--Rotas do 21º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

--Rotas do 22º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

--Rotas do 23º turno-----------------------------
3 -> 197 (188)
15 -> 188 (188)
26 -> 150 (197)
45 -> 81 (194)
67 -> 74 (167)
81 -> 162 (194)
91 -> 144 (167)
137 -> 1 (197)
144 -> 67 (167)
150 -> 137 (197)
174 -> 3 (188)
185 -> 15 (188)
187 -> 40 (200)
192 -> 179 (198)
197 -> 105 (188)
Fluxo: 1332
Arestas removidas: 7031

