--Rotas do 1º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
42 -> 70 (157)
70 -> 767 (157)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
248 -> 944 (157)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
637 -> 815 (193)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
888 -> 637 (193)
943 -> 383 (194)
944 -> 42 (157)
991 -> 569 (101)
Fluxo: 1733
Arestas removidas: 73841

--Rotas do 2º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
42 -> 70 (157)
58 -> 8 (107)
70 -> 767 (157)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
248 -> 944 (157)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
637 -> 815 (193)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
888 -> 637 (193)
943 -> 383 (194)
944 -> 42 (157)
991 -> 569 (101)
Fluxo: 1733
Arestas removidas: 73841

--Rotas do 3º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
42 -> 70 (157)
58 -> 8 (109)
70 -> 767 (157)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
248 -> 944 (157)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
637 -> 815 (193)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
888 -> 637 (193)
943 -> 383 (194)
944 -> 42 (157)
991 -> 569 (101)
Fluxo: 1733
Arestas removidas: 73841

--Rotas do 4º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
42 -> 70 (157)
58 -> 8 (109)
70 -> 767 (157)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
248 -> 944 (157)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
637 -> 815 (193)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
888 -> 637 (193)
943 -> 383 (194)
944 -> 42 (157)
991 -> 569 (101)
Fluxo: 1733
Arestas removidas: 73841

--Rotas do 5º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
42 -> 70 (157)
58 -> 8 (109)
70 -> 767 (157)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
248 -> 944 (157)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
637 -> 815 (42)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
888 -> 637 (42)
943 -> 383 (194)
944 -> 42 (157)
991 -> 569 (101)
Fluxo: 1582
Arestas removidas: 73841

--Rotas do 6º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
42 -> 70 (157)
58 -> 8 (109)
70 -> 767 (157)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
248 -> 944 (157)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
943 -> 383 (194)
944 -> 42 (157)
991 -> 569 (101)
Fluxo: 1540
Arestas removidas: 73841

--Rotas do 7º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
42 -> 70 (57)
58 -> 8 (109)
70 -> 767 (57)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
248 -> 944 (57)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
943 -> 383 (194)
944 -> 42 (57)
991 -> 569 (101)
Fluxo: 1440
Arestas removidas: 73863

--Rotas do 8º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
58 -> 8 (109)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 1383
Arestas removidas: 73863

--Rotas do 9º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
58 -> 8 (109)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
658 -> 396 (200)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 1383
Arestas removidas: 73863

--Rotas do 10º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
58 -> 8 (109)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
658 -> 396 (199)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 1382
Arestas removidas: 73863

--Rotas do 11º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
58 -> 8 (109)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 1183
Arestas removidas: 73863

--Rotas do 12º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
58 -> 8 (109)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 1183
Arestas removidas: 73863

--Rotas do 13º turno-----------------------------
8 -> 869 (109)
38 -> 991 (101)
58 -> 8 (109)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
717 -> 40 (198)
730 -> 619 (109)
736 -> 442 (200)
869 -> 730 (109)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 1183
Arestas removidas: 73863

--Rotas do 14º turno-----------------------------
8 -> 869 (106)
38 -> 991 (101)
58 -> 8 (106)
93 -> 50 (101)
116 -> 581 (181)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (181)
717 -> 40 (198)
730 -> 619 (106)
736 -> 442 (200)
869 -> 730 (106)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 1180
Arestas removidas: 73867

--Rotas do 15º turno-----------------------------
38 -> 991 (101)
93 -> 50 (101)
116 -> 581 (4)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
581 -> 599 (4)
717 -> 40 (198)
736 -> 442 (200)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 897
Arestas removidas: 73867

--Rotas do 16º turno-----------------------------
38 -> 991 (101)
93 -> 50 (101)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (200)
469 -> 943 (194)
569 -> 93 (101)
717 -> 40 (198)
736 -> 442 (200)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 893
Arestas removidas: 73867

--Rotas do 17º turno-----------------------------
38 -> 991 (101)
93 -> 50 (101)
125 -> 736 (200)
174 -> 717 (198)
338 -> 514 (181)
469 -> 943 (194)
569 -> 93 (101)
717 -> 40 (198)
736 -> 442 (200)
943 -> 383 (194)
991 -> 569 (101)
Fluxo: 874
Arestas removidas: 73867

--Rotas do 18º turno-----------------------------
38 -> 991 (101)
93 -> 50 (101)
125 -> 736 (200)
174 -> 717 (198)
469 -> 943 (194)
569 -> 93 (101)
717 -> 40 (198)
