--Rotas do 1º turno-----------------------------
0 -> 145 (200)
3 -> 25 (127)
12 -> 62 (108)
16 -> 144 (161)
25 -> 114 (127)
34 -> 3 (127)
45 -> 165 (199)
62 -> 137 (108)
65 -> 34 (127)
89 -> 35 (169)
91 -> 33 (192)
105 -> 197 (188)
109 -> 89 (169)
127 -> 168 (196)
137 -> 1 (108)
138 -> 109 (169)
144 -> 186 (161)
172 -> 158 (161)
186 -> 172 (161)
191 -> 155 (200)
197 -> 106 (188)
Fluxo: 1740
Arestas removidas: 9659

--Rotas do 2º turno-----------------------------
0 -> 145 (200)
3 -> 25 (127)
12 -> 62 (108)
16 -> 144 (161)
25 -> 114 (127)
31 -> 129 (55)
34 -> 3 (127)
45 -> 165 (199)
62 -> 137 (108)
65 -> 34 (127)
89 -> 35 (169)
91 -> 33 (192)
105 -> 197 (188)
109 -> 89 (169)
127 -> 168 (196)
129 -> 138 (55)
137 -> 1 (108)
138 -> 109 (169)
144 -> 186 (161)
172 -> 158 (161)
186 -> 172 (161)
191 -> 155 (200)
197 -> 106 (188)
Fluxo: 1740
Arestas removidas: 9661

--Rotas do 3º turno-----------------------------
0 -> 145 (200)
3 -> 25 (127)
12 -> 62 (108)
16 -> 144 (161)
25 -> 114 (127)
31 -> 129 (147)
34 -> 3 (127)
45 -> 165 (199)
59 -> 157 (1)
62 -> 137 (108)
65 -> 34 (127)
89 -> 35 (147)
91 -> 33 (192)
105 -> 197 (188)
109 -> 89 (147)
127 -> 168 (196)
129 -> 138 (147)
137 -> 1 (108)
138 -> 109 (147)
144 -> 186 (161)
157 -> 127 (1)
172 -> 158 (161)
186 -> 172 (161)
191 -> 155 (200)
197 -> 106 (188)
Fluxo: 1718
Arestas removidas: 9667

--Rotas do 4º turno-----------------------------
0 -> 145 (200)
3 -> 25 (127)
12 -> 62 (108)
16 -> 144 (161)
25 -> 114 (127)
31 -> 129 (147)
34 -> 3 (127)
45 -> 165 (199)
59 -> 157 (168)
62 -> 137 (108)
65 -> 34 (127)
89 -> 35 (147)
91 -> 33 (192)
105 -> 197 (188)
109 -> 89 (147)
127 -> 168 (168)
129 -> 138 (147)
137 -> 1 (108)
138 -> 109 (147)
144 -> 186 (161)
157 -> 127 (168)
172 -> 158 (161)
186 -> 172 (161)
191 -> 155 (200)
197 -> 106 (188)
Fluxo: 1690
Arestas removidas: 9669

--Rotas do 5º turno-----------------------------
0 -> 145 (200)
3 -> 25 (127)
12 -> 62 (108)
16 -> 144 (161)
25 -> 114 (127)
31 -> 129 (147)
34 -> 3 (127)
45 -> 165 (199)
59 -> 157 (168)
62 -> 137 (108)
65 -> 34 (127)
89 -> 35 (147)
91 -> 33 (192)
105 -> 197 (188)
109 -> 89 (147)
127 -> 168 (168)
129 -> 138 (147)
137 -> 1 (108)
138 -> 109 (147)
144 -> 186 (161)
157 -> 127 (168)
172 -> 158 (161)
186 -> 172 (161)
191 -> 155 (200)
197 -> 106 (188)
Fluxo: 1690
Arestas removidas: 9669

--Rotas do 6º turno-----------------------------
0 -> 145 (200)
3 -> 25 (127)
12 -> 62 (108)
16 -> 144 (161)
25 -> 114 (127)
31 -> 129 (147)
34 -> 3 (127)
45 -> 165 (199)
59 -> 157 (168)
62 -> 137 (108)
