--Rotas do 1º turno-----------------------------
2 -> 967 (162)
61 -> 2 (162)
62 -> 509 (143)
126 -> 261 (143)
227 -> 338 (190)
246 -> 505 (161)
310 -> 227 (190)
499 -> 133 (188)
500 -> 854 (196)
505 -> 309 (161)
509 -> 757 (143)
524 -> 246 (161)
672 -> 946 (188)
684 -> 844 (198)
757 -> 126 (143)
854 -> 320 (196)
874 -> 981 (194)
891 -> 684 (198)
946 -> 499 (188)
992 -> 651 (191)
Fluxo: 1623
Arestas removidas: 119776

--Rotas do 2º turno-----------------------------
2 -> 967 (162)
61 -> 2 (162)
62 -> 509 (143)
126 -> 261 (143)
227 -> 338 (190)
246 -> 505 (161)
310 -> 227 (190)
499 -> 133 (188)
500 -> 854 (196)
505 -> 309 (161)
509 -> 757 (143)
524 -> 246 (161)
672 -> 946 (188)
684 -> 844 (198)
757 -> 126 (143)
854 -> 320 (196)
874 -> 981 (194)
891 -> 684 (198)
946 -> 499 (188)
992 -> 651 (103)
Fluxo: 1535
Arestas removidas: 119776

--Rotas do 3º turno-----------------------------
2 -> 967 (162)
61 -> 2 (162)
62 -> 509 (143)
126 -> 261 (143)
227 -> 338 (190)
246 -> 505 (161)
310 -> 227 (190)
499 -> 133 (188)
500 -> 854 (196)
505 -> 309 (161)
509 -> 757 (143)
524 -> 246 (161)
672 -> 946 (188)
684 -> 844 (198)
757 -> 126 (143)
854 -> 320 (196)
874 -> 981 (194)
891 -> 684 (198)
946 -> 499 (188)
Fluxo: 1432
Arestas removidas: 119776

--Rotas do 4º turno-----------------------------
2 -> 967 (162)
61 -> 2 (162)
62 -> 509 (143)
126 -> 261 (143)
227 -> 338 (190)
246 -> 505 (161)
310 -> 227 (190)
499 -> 133 (188)
500 -> 854 (196)
505 -> 309 (161)
509 -> 757 (143)
524 -> 246 (161)
672 -> 946 (188)
684 -> 844 (198)
757 -> 126 (143)
854 -> 320 (196)
874 -> 981 (194)
891 -> 684 (198)
946 -> 499 (188)
Fluxo: 1432
Arestas removidas: 119776

--Rotas do 5º turno-----------------------------
2 -> 967 (162)
61 -> 2 (162)
62 -> 509 (143)
126 -> 261 (143)
227 -> 338 (190)
246 -> 505 (161)
310 -> 227 (190)
499 -> 133 (188)
500 -> 854 (196)
505 -> 309 (161)
509 -> 757 (143)
524 -> 246 (161)
672 -> 946 (188)
684 -> 844 (198)
757 -> 126 (143)
854 -> 320 (196)
874 -> 981 (194)
891 -> 684 (198)
946 -> 499 (188)
Fluxo: 1432
Arestas removidas: 119776

--Rotas do 6º turno-----------------------------
2 -> 967 (162)
61 -> 2 (162)
62 -> 509 (143)
126 -> 261 (143)
227 -> 338 (190)
246 -> 505 (161)
