--Rotas do 1º turno-----------------------------
0 -> 1 (143)
0 -> 4 (183)
0 -> 13 (88)
0 -> 14 (199)
0 -> 22 (163)
0 -> 258 (137)
0 -> 287 (102)
1 -> 114 (178)
2 -> 287 (172)
3 -> 18 (181)
3 -> 27 (180)
3 -> 258 (158)
3 -> 284 (135)
3 -> 287 (181)
3 -> 295 (123)
3 -> 350 (127)
4 -> 287 (183)
5 -> 258 (171)
5 -> 284 (20)
6 -> 11 (156)
6 -> 29 (124)
6 -> 36 (181)
6 -> 39 (187)
6 -> 284 (196)
6 -> 288 (131)
6 -> 316 (126)
6 -> 409 (175)
6 -> 455 (173)
7 -> 336 (140)
8 -> 284 (188)
9 -> 171 (162)
10 -> 258 (125)
10 -> 287 (39)
11 -> 114 (156)
12 -> 171 (134)
13 -> 258 (174)
14 -> 171 (146)
14 -> 409 (53)
15 -> 150 (128)
17 -> 287 (165)
17 -> 449 (19)
18 -> 150 (184)
19 -> 336 (167)
20 -> 114 (178)
20 -> 150 (13)
21 -> 258 (188)
22 -> 171 (163)
23 -> 284 (121)
23 -> 526 (44)
23 -> 547 (24)
24 -> 114 (168)
24 -> 409 (10)
25 -> 409 (185)
26 -> 284 (173)
27 -> 258 (136)
27 -> 287 (44)
28 -> 449 (68)
29 -> 114 (196)
30 -> 258 (167)
31 -> 284 (136)
31 -> 303 (38)
32 -> 409 (110)
32 -> 449 (48)
33 -> 284 (145)
33 -> 287 (45)
34 -> 114 (120)
35 -> 150 (193)
36 -> 150 (104)
36 -> 284 (77)
37 -> 303 (100)
38 -> 2 (119)
38 -> 18 (3)
38 -> 25 (121)
38 -> 30 (122)
38 -> 35 (91)
38 -> 48 (166)
38 -> 59 (166)
38 -> 75 (163)
38 -> 82 (188)
38 -> 89 (163)
38 -> 98 (133)
38 -> 100 (168)
38 -> 104 (179)
38 -> 105 (154)
38 -> 116 (104)
38 -> 117 (151)
38 -> 142 (130)
38 -> 151 (165)
38 -> 158 (141)
38 -> 162 (123)
38 -> 163 (177)
38 -> 169 (128)
38 -> 171 (49)
38 -> 175 (131)
38 -> 179 (162)
38 -> 195 (152)
38 -> 204 (90)
38 -> 205 (93)
38 -> 214 (186)
38 -> 216 (122)
38 -> 217 (181)
38 -> 227 (192)
38 -> 338 (133)
38 -> 402 (130)
38 -> 409 (54)
38 -> 448 (126)
38 -> 449 (169)
39 -> 171 (178)
39 -> 284 (9)
40 -> 114 (122)
40 -> 171 (35)
41 -> 258 (158)
41 -> 303 (37)
42 -> 114 (154)
43 -> 284 (126)
43 -> 336 (38)
44 -> 7 (107)
44 -> 8 (164)
44 -> 15 (114)
44 -> 17 (184)
44 -> 31 (174)
44 -> 32 (158)
44 -> 41 (195)
44 -> 42 (119)
44 -> 45 (172)
44 -> 60 (193)
44 -> 62 (159)
44 -> 64 (135)
44 -> 81 (96)
44 -> 83 (138)
44 -> 84 (63)
44 -> 98 (34)
44 -> 101 (160)
44 -> 110 (200)
44 -> 112 (121)
44 -> 127 (193)
44 -> 130 (102)
44 -> 136 (71)
44 -> 141 (191)
44 -> 145 (113)
44 -> 157 (183)
44 -> 170 (189)
44 -> 250 (188)
44 -> 284 (153)
44 -> 303 (139)
44 -> 329 (179)
44 -> 336 (109)
44 -> 341 (137)
44 -> 412 (138)
44 -> 441 (70)
45 -> 171 (140)
45 -> 258 (32)
46 -> 409 (171)
47 -> 336 (180)
48 -> 284 (176)
49 -> 171 (101)
49 -> 287 (83)
50 -> 114 (121)
50 -> 303 (13)
51 -> 284 (168)
51 -> 287 (27)
52 -> 114 (122)
52 -> 303 (49)
53 -> 409 (188)
54 -> 171 (160)
55 -> 171 (162)
56 -> 150 (147)
57 -> 150 (187)
58 -> 287 (141)
59 -> 171 (174)
60 -> 287 (182)
60 -> 409 (11)
61 -> 150 (129)
61 -> 171 (48)
62 -> 284 (176)
63 -> 114 (91)
63 -> 303 (97)
64 -> 114 (176)
65 -> 258 (191)
66 -> 150 (72)
66 -> 336 (97)
67 -> 258 (79)
68 -> 114 (155)
68 -> 150 (20)
69 -> 150 (131)
69 -> 336 (27)
70 -> 287 (188)
71 -> 258 (169)
72 -> 150 (173)
73 -> 258 (186)
74 -> 150 (144)
74 -> 336 (44)
75 -> 336 (190)
76 -> 114 (130)
76 -> 287 (63)
77 -> 284 (128)
77 -> 303 (44)
78 -> 114 (143)
78 -> 287 (36)
79 -> 303 (150)
79 -> 449 (42)
80 -> 150 (86)
80 -> 258 (105)
81 -> 171 (168)
82 -> 449 (194)
83 -> 114 (169)
84 -> 336 (133)
85 -> 8 (24)
85 -> 13 (86)
85 -> 20 (191)
85 -> 26 (156)
85 -> 37 (100)
85 -> 43 (164)
85 -> 50 (134)
85 -> 51 (195)
85 -> 61 (177)
85 -> 62 (17)
85 -> 64 (41)
85 -> 69 (158)
85 -> 70 (168)
85 -> 73 (184)
85 -> 83 (31)
85 -> 95 (181)
85 -> 99 (141)
85 -> 108 (104)
85 -> 111 (129)
85 -> 113 (134)
85 -> 114 (192)
85 -> 121 (149)
85 -> 134 (174)
85 -> 147 (150)
85 -> 151 (13)
85 -> 171 (147)
85 -> 177 (122)
85 -> 188 (168)
85 -> 206 (87)
85 -> 224 (180)
85 -> 287 (192)
85 -> 442 (146)
85 -> 444 (123)
85 -> 449 (87)
85 -> 490 (141)
86 -> 114 (137)
86 -> 150 (55)
87 -> 150 (138)
87 -> 409 (4)
88 -> 9 (131)
88 -> 21 (141)
88 -> 29 (72)
88 -> 30 (45)
88 -> 42 (35)
88 -> 46 (171)
88 -> 80 (191)
89 -> 150 (171)
