--Rotas do 1º turno-----------------------------
0 -> 1 (23)
2 -> 107 (180)
3 -> 1 (105)
4 -> 74 (125)
4 -> 188 (15)
5 -> 40 (130)
5 -> 179 (38)
6 -> 74 (129)
6 -> 105 (41)
7 -> 40 (103)
7 -> 162 (82)
8 -> 40 (165)
8 -> 74 (18)
9 -> 1 (156)
10 -> 107 (193)
11 -> 0 (168)
12 -> 1 (85)
12 -> 5 (168)
12 -> 7 (185)
12 -> 11 (136)
12 -> 30 (99)
12 -> 40 (13)
12 -> 43 (167)
12 -> 46 (176)
12 -> 52 (128)
12 -> 53 (112)
12 -> 56 (143)
12 -> 64 (187)
12 -> 72 (142)
12 -> 73 (119)
12 -> 78 (179)
12 -> 83 (89)
12 -> 107 (134)
12 -> 110 (161)
12 -> 115 (189)
12 -> 116 (111)
12 -> 119 (195)
12 -> 127 (195)
12 -> 129 (146)
12 -> 131 (176)
12 -> 137 (150)
12 -> 139 (92)
12 -> 145 (195)
12 -> 151 (166)
12 -> 163 (147)
12 -> 167 (192)
12 -> 176 (1)
12 -> 188 (171)
12 -> 189 (181)
12 -> 193 (181)
12 -> 195 (198)
13 -> 188 (199)
14 -> 1 (85)
14 -> 188 (108)
15 -> 162 (176)
16 -> 0 (158)
16 -> 4 (140)
16 -> 10 (191)
16 -> 23 (151)
16 -> 40 (8)
16 -> 43 (13)
16 -> 47 (166)
16 -> 58 (121)
16 -> 61 (150)
16 -> 64 (9)
16 -> 71 (137)
16 -> 73 (42)
16 -> 92 (173)
16 -> 100 (124)
16 -> 101 (148)
16 -> 107 (173)
16 -> 122 (169)
16 -> 124 (153)
16 -> 179 (47)
17 -> 107 (163)
17 -> 179 (33)
18 -> 8 (183)
18 -> 14 (193)
18 -> 30 (125)
18 -> 40 (60)
18 -> 46 (16)
18 -> 52 (69)
18 -> 57 (171)
18 -> 69 (183)
18 -> 78 (8)
18 -> 80 (104)
18 -> 84 (184)
18 -> 90 (153)
18 -> 102 (146)
18 -> 107 (38)
18 -> 109 (124)
18 -> 113 (127)
18 -> 182 (111)
19 -> 74 (150)
19 -> 107 (23)
20 -> 13 (103)
20 -> 22 (110)
20 -> 32 (137)
20 -> 40 (57)
20 -> 51 (161)
20 -> 107 (75)
20 -> 128 (193)
20 -> 143 (74)
20 -> 153 (24)
20 -> 179 (140)
20 -> 188 (183)
21 -> 0 (168)
21 -> 1 (40)
21 -> 11 (32)
21 -> 13 (96)
21 -> 27 (103)
21 -> 41 (149)
21 -> 74 (109)
21 -> 79 (109)
21 -> 80 (17)
21 -> 83 (83)
21 -> 105 (68)
21 -> 110 (34)
21 -> 116 (68)
21 -> 118 (156)
21 -> 124 (28)
21 -> 126 (168)
21 -> 134 (152)
21 -> 136 (116)
21 -> 142 (127)
21 -> 143 (95)
21 -> 149 (139)
21 -> 153 (55)
21 -> 163 (34)
21 -> 179 (25)
21 -> 190 (130)
21 -> 194 (135)
22 -> 162 (137)
23 -> 1 (198)
24 -> 30 (169)
24 -> 40 (121)
24 -> 105 (128)
25 -> 40 (188)
25 -> 41 (36)
25 -> 55 (168)
25 -> 56 (24)
25 -> 82 (151)
25 -> 105 (3)
25 -> 108 (143)
25 -> 130 (121)
25 -> 137 (50)
25 -> 151 (25)
25 -> 162 (198)
25 -> 168 (132)
25 -> 179 (113)
25 -> 182 (70)
26 -> 0 (84)
26 -> 2 (180)
26 -> 15 (167)
26 -> 19 (173)
26 -> 22 (27)
26 -> 37 (196)
