--Rotas do 1º turno-----------------------------
0 -> 154 (15)
1 -> 474 (12)
1 -> 478 (144)
2 -> 199 (75)
3 -> 5 (88)
3 -> 11 (94)
3 -> 27 (71)
3 -> 29 (146)
3 -> 39 (86)
3 -> 92 (58)
3 -> 96 (186)
3 -> 99 (148)
3 -> 110 (126)
3 -> 146 (189)
3 -> 147 (105)
3 -> 163 (135)
3 -> 168 (150)
3 -> 169 (83)
3 -> 182 (69)
3 -> 192 (152)
3 -> 241 (64)
3 -> 312 (162)
3 -> 325 (91)
3 -> 378 (38)
3 -> 416 (137)
3 -> 429 (50)
3 -> 441 (36)
3 -> 450 (142)
3 -> 476 (50)
3 -> 478 (88)
3 -> 486 (118)
3 -> 501 (192)
3 -> 502 (72)
3 -> 506 (35)
5 -> 502 (154)
6 -> 27 (139)
7 -> 421 (178)
8 -> 502 (116)
9 -> 478 (178)
10 -> 330 (152)
11 -> 670 (121)
12 -> 343 (192)
13 -> 27 (152)
14 -> 478 (194)
15 -> 677 (159)
16 -> 421 (97)
17 -> 670 (145)
18 -> 343 (144)
19 -> 345 (27)
19 -> 670 (146)
20 -> 27 (68)
20 -> 502 (125)
21 -> 245 (42)
21 -> 330 (79)
22 -> 5 (66)
22 -> 23 (148)
22 -> 41 (197)
22 -> 42 (156)
22 -> 49 (83)
22 -> 58 (147)
22 -> 62 (198)
22 -> 74 (146)
22 -> 126 (134)
22 -> 147 (94)
22 -> 167 (171)
22 -> 195 (136)
22 -> 222 (195)
22 -> 227 (84)
22 -> 239 (143)
22 -> 243 (137)
22 -> 247 (163)
22 -> 251 (61)
22 -> 275 (117)
22 -> 279 (136)
22 -> 303 (174)
22 -> 306 (78)
22 -> 371 (80)
22 -> 424 (141)
22 -> 441 (121)
22 -> 462 (135)
22 -> 502 (152)
22 -> 538 (71)
22 -> 582 (26)
22 -> 585 (41)
23 -> 670 (163)
25 -> 670 (155)
25 -> 677 (7)
26 -> 667 (167)
28 -> 421 (151)
28 -> 478 (3)
29 -> 343 (184)
30 -> 85 (8)
31 -> 478 (124)
31 -> 670 (3)
32 -> 421 (128)
32 -> 670 (72)
33 -> 478 (99)
33 -> 667 (79)
