--Rotas do 1º turno-----------------------------
0 -> 699 (190)
1 -> 24 (120)
1 -> 207 (19)
2 -> 92 (179)
2 -> 128 (13)
3 -> 399 (156)
4 -> 24 (165)
5 -> 202 (142)
6 -> 389 (158)
7 -> 24 (162)
7 -> 399 (33)
8 -> 10 (163)
8 -> 22 (118)
8 -> 39 (177)
8 -> 43 (107)
8 -> 48 (101)
8 -> 51 (130)
8 -> 54 (156)
8 -> 60 (200)
8 -> 70 (97)
8 -> 71 (141)
8 -> 91 (175)
8 -> 104 (137)
8 -> 108 (151)
8 -> 117 (188)
8 -> 128 (132)
8 -> 133 (179)
8 -> 136 (132)
8 -> 144 (133)
8 -> 148 (180)
8 -> 151 (135)
8 -> 164 (149)
8 -> 166 (106)
8 -> 179 (132)
8 -> 207 (121)
8 -> 221 (167)
8 -> 254 (149)
8 -> 398 (114)
8 -> 399 (104)
8 -> 539 (161)
8 -> 635 (83)
8 -> 638 (101)
8 -> 657 (108)
9 -> 253 (26)
10 -> 389 (132)
10 -> 399 (31)
11 -> 128 (197)
11 -> 389 (1)
12 -> 128 (103)
13 -> 24 (200)
14 -> 128 (190)
15 -> 92 (160)
15 -> 792 (18)
16 -> 24 (132)
16 -> 202 (61)
17 -> 24 (164)
17 -> 202 (27)
19 -> 672 (119)
20 -> 24 (153)
20 -> 128 (19)
21 -> 207 (112)
21 -> 399 (50)
22 -> 92 (180)
23 -> 476 (179)
23 -> 792 (3)
25 -> 202 (134)
25 -> 399 (8)
26 -> 128 (162)
26 -> 399 (30)
27 -> 389 (134)
27 -> 399 (46)
28 -> 672 (181)
29 -> 672 (115)
30 -> 389 (121)
30 -> 399 (54)
31 -> 672 (87)
31 -> 792 (63)
32 -> 476 (154)
33 -> 92 (100)
33 -> 399 (79)
35 -> 24 (198)
35 -> 96 (131)
35 -> 732 (172)
36 -> 389 (96)
36 -> 792 (49)
37 -> 586 (19)
38 -> 672 (185)
39 -> 92 (104)
39 -> 389 (73)
40 -> 399 (171)
41 -> 24 (191)
42 -> 207 (144)
43 -> 389 (107)
44 -> 202 (147)
44 -> 792 (157)
45 -> 92 (84)
46 -> 202 (59)
46 -> 207 (99)
47 -> 24 (190)
48 -> 24 (142)
49 -> 399 (119)
50 -> 476 (195)
51 -> 92 (129)
51 -> 202 (1)
52 -> 389 (176)
52 -> 672 (23)
53 -> 538 (188)
54 -> 389 (156)
55 -> 202 (169)
56 -> 128 (91)
56 -> 202 (89)
57 -> 389 (174)
58 -> 207 (188)
59 -> 672 (166)
60 -> 92 (174)
60 -> 399 (26)
61 -> 792 (144)
62 -> 92 (191)
63 -> 476 (166)
63 -> 672 (5)
64 -> 202 (159)
65 -> 389 (158)
66 -> 92 (188)
66 -> 792 (3)
67 -> 24 (167)
67 -> 92 (20)
68 -> 202 (160)
69 -> 207 (155)
69 -> 672 (25)
70 -> 792 (97)
71 -> 476 (200)
72 -> 207 (129)
73 -> 476 (142)
74 -> 92 (145)
74 -> 202 (35)
75 -> 476 (131)
76 -> 1 (139)
76 -> 4 (119)
76 -> 16 (193)
76 -> 20 (172)
76 -> 29 (115)
76 -> 36 (145)
76 -> 38 (134)
76 -> 40 (147)
76 -> 42 (144)
76 -> 49 (111)
76 -> 50 (148)
76 -> 57 (82)
76 -> 85 (97)
76 -> 128 (69)
76 -> 202 (179)
76 -> 313 (101)
76 -> 343 (173)
76 -> 577 (114)
76 -> 736 (28)
77 -> 128 (154)
78 -> 128 (124)
78 -> 207 (75)
79 -> 389 (114)
79 -> 672 (28)
80 -> 128 (145)
81 -> 202 (112)
81 -> 389 (62)
82 -> 207 (179)
83 -> 792 (119)
84 -> 128 (145)
84 -> 202 (40)
85 -> 24 (140)
86 -> 24 (118)
86 -> 476 (54)
87 -> 128 (176)
87 -> 672 (8)
88 -> 24 (147)
88 -> 207 (26)
89 -> 3 (109)
89 -> 17 (191)
89 -> 26 (192)
89 -> 27 (180)
89 -> 33 (179)
89 -> 55 (130)
89 -> 61 (102)
89 -> 68 (98)
89 -> 69 (180)
89 -> 71 (59)
89 -> 72 (112)
89 -> 73 (125)
89 -> 82 (166)
89 -> 97 (199)
89 -> 98 (133)
89 -> 128 (163)
89 -> 132 (147)
89 -> 202 (124)
89 -> 399 (165)
89 -> 427 (30)
89 -> 445 (56)
89 -> 617 (77)
89 -> 632 (185)
89 -> 640 (170)
89 -> 672 (176)
90 -> 389 (156)
91 -> 92 (162)
91 -> 399 (13)
93 -> 399 (3)
94 -> 128 (186)
95 -> 24 (187)
96 -> 672 (141)
97 -> 92 (124)
97 -> 510 (75)
98 -> 207 (164)
99 -> 92 (132)
99 -> 207 (33)
100 -> 207 (174)
101 -> 92 (125)
102 -> 5 (107)
102 -> 13 (200)
102 -> 15 (178)
102 -> 23 (182)
102 -> 38 (51)
102 -> 63 (171)
102 -> 67 (187)
102 -> 74 (180)
102 -> 75 (131)
102 -> 79 (142)
102 -> 84 (185)
102 -> 90 (156)
102 -> 94 (119)
102 -> 101 (125)
