--Rotas do 1º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
372 -> 387 (198)
382 -> 108 (90)
Fluxo: 1619
Arestas removidas: 24181

--Rotas do 2º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
372 -> 387 (127)
382 -> 108 (90)
Fluxo: 1548
Arestas removidas: 24181

--Rotas do 3º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1421
Arestas removidas: 24181

--Rotas do 4º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1421
Arestas removidas: 24181

--Rotas do 5º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1421
Arestas removidas: 24181

--Rotas do 6º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1421
Arestas removidas: 24181

--Rotas do 7º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1421
Arestas removidas: 24181

--Rotas do 8º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1421
Arestas removidas: 24181

--Rotas do 9º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1421
Arestas removidas: 24181

--Rotas do 10º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (199)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1421
Arestas removidas: 24181

--Rotas do 11º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
215 -> 220 (199)
232 -> 325 (136)
241 -> 148 (98)
245 -> 25 (140)
263 -> 382 (90)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1320
Arestas removidas: 24181

--Rotas do 12º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 13º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 14º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 15º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 16º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 17º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 18º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 19º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 20º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24182

--Rotas do 21º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
49 -> 315 (59)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (196)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1222
Arestas removidas: 24185

--Rotas do 22º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
49 -> 315 (104)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (104)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1130
Arestas removidas: 24203

--Rotas do 23º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
49 -> 315 (104)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
215 -> 220 (199)
232 -> 325 (136)
245 -> 25 (140)
281 -> 245 (140)
315 -> 101 (104)
325 -> 78 (136)
353 -> 121 (131)
360 -> 18 (188)
382 -> 108 (90)
Fluxo: 1130
Arestas removidas: 24203

--Rotas do 24º turno-----------------------------
2 -> 102 (142)
11 -> 30 (131)
14 -> 145 (90)
18 -> 159 (188)
24 -> 139 (140)
30 -> 353 (131)
36 -> 232 (136)
49 -> 315 (104)
74 -> 186 (142)
78 -> 98 (136)
102 -> 107 (142)
107 -> 74 (142)
108 -> 202 (90)
121 -> 365 (131)
139 -> 281 (140)
145 -> 382 (90)
