--Rotas do 1º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
575 -> 395 (199)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1748
Arestas removidas: 101772

--Rotas do 2º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
575 -> 395 (199)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1748
Arestas removidas: 101772

--Rotas do 3º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (27)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (27)
575 -> 395 (199)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1748
Arestas removidas: 101772

--Rotas do 4º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 5º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 6º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 7º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 8º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 9º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 10º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 11º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 12º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 13º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
235 -> 331 (117)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (196)
336 -> 612 (199)
362 -> 629 (196)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1622
Arestas removidas: 101780

--Rotas do 14º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
235 -> 331 (167)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (167)
336 -> 612 (199)
362 -> 629 (167)
476 -> 261 (138)
489 -> 240 (120)
543 -> 569 (138)
554 -> 575 (73)
575 -> 395 (73)
665 -> 509 (194)
670 -> 772 (191)
749 -> 543 (138)
772 -> 45 (191)
799 -> 526 (137)
Fluxo: 1593
Arestas removidas: 101780

--Rotas do 15º turno-----------------------------
2 -> 19 (189)
19 -> 145 (189)
74 -> 113 (185)
87 -> 554 (73)
107 -> 489 (120)
113 -> 451 (185)
114 -> 107 (120)
122 -> 141 (137)
141 -> 799 (137)
144 -> 336 (199)
235 -> 331 (167)
240 -> 249 (120)
261 -> 749 (138)
331 -> 362 (167)
336 -> 612 (199)
362 -> 629 (167)
476 -> 261 (138)
