--Rotas do 1º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 2º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 3º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 4º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 5º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 6º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 7º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 8º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 9º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 10º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 11º turno-----------------------------
0 -> 349 (87)
3 -> 488 (122)
17 -> 287 (122)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (122)
499 -> 409 (199)
544 -> 449 (198)
Fluxo: 1479
Arestas removidas: 48242

--Rotas do 12º turno-----------------------------
0 -> 349 (87)
17 -> 287 (103)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
194 -> 421 (103)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
421 -> 522 (103)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (103)
499 -> 409 (199)
522 -> 488 (103)
544 -> 449 (198)
591 -> 0 (11)
Fluxo: 1460
Arestas removidas: 48280

--Rotas do 13º turno-----------------------------
0 -> 349 (87)
17 -> 287 (103)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
194 -> 421 (103)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
421 -> 522 (103)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (103)
499 -> 409 (199)
522 -> 488 (103)
544 -> 449 (198)
591 -> 0 (87)
Fluxo: 1460
Arestas removidas: 48280

--Rotas do 14º turno-----------------------------
0 -> 349 (87)
17 -> 287 (103)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
194 -> 421 (103)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
421 -> 522 (103)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (103)
499 -> 409 (199)
522 -> 488 (103)
544 -> 449 (198)
591 -> 0 (87)
Fluxo: 1460
Arestas removidas: 48280

--Rotas do 15º turno-----------------------------
0 -> 349 (87)
17 -> 287 (103)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
194 -> 421 (103)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
421 -> 522 (103)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (103)
499 -> 409 (199)
522 -> 488 (103)
544 -> 449 (198)
591 -> 0 (87)
Fluxo: 1460
Arestas removidas: 48280

--Rotas do 16º turno-----------------------------
0 -> 349 (87)
17 -> 287 (103)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
194 -> 421 (103)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
421 -> 522 (103)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (103)
499 -> 409 (199)
522 -> 488 (103)
544 -> 449 (198)
591 -> 0 (87)
Fluxo: 1460
Arestas removidas: 48280

--Rotas do 17º turno-----------------------------
0 -> 349 (87)
17 -> 287 (103)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
194 -> 421 (103)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
421 -> 522 (103)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (103)
499 -> 409 (199)
522 -> 488 (103)
544 -> 449 (198)
591 -> 0 (87)
Fluxo: 1460
Arestas removidas: 48280

--Rotas do 18º turno-----------------------------
0 -> 349 (87)
17 -> 287 (103)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
194 -> 421 (103)
210 -> 337 (90)
266 -> 258 (196)
271 -> 150 (198)
307 -> 303 (197)
331 -> 430 (87)
337 -> 481 (90)
349 -> 331 (87)
359 -> 271 (198)
368 -> 307 (197)
421 -> 522 (103)
430 -> 336 (87)
481 -> 114 (90)
488 -> 17 (103)
499 -> 409 (199)
522 -> 488 (103)
544 -> 449 (198)
591 -> 0 (87)
Fluxo: 1460
Arestas removidas: 48280

--Rotas do 19º turno-----------------------------
0 -> 349 (87)
17 -> 287 (103)
38 -> 210 (90)
44 -> 110 (192)
110 -> 171 (192)
182 -> 266 (196)
194 -> 421 (103)
210 -> 337 (90)
265 -> 359 (87)
266 -> 258 (196)
