--Rotas do 1º turno-----------------------------
14 -> 23 (195)
23 -> 73 (195)
38 -> 262 (199)
46 -> 78 (107)
73 -> 94 (195)
78 -> 28 (107)
79 -> 335 (153)
96 -> 383 (112)
102 -> 96 (112)
106 -> 46 (107)
107 -> 254 (198)
169 -> 79 (153)
224 -> 102 (6)
230 -> 169 (153)
240 -> 365 (185)
242 -> 224 (6)
254 -> 198 (198)
262 -> 91 (199)
266 -> 337 (196)
383 -> 129 (112)
398 -> 227 (198)
Fluxo: 1543
Arestas removidas: 31029

--Rotas do 2º turno-----------------------------
14 -> 23 (195)
23 -> 73 (195)
38 -> 262 (199)
46 -> 78 (107)
73 -> 94 (195)
78 -> 28 (107)
79 -> 335 (153)
96 -> 383 (75)
106 -> 46 (107)
107 -> 254 (198)
112 -> 96 (75)
169 -> 79 (153)
209 -> 112 (75)
230 -> 169 (153)
240 -> 365 (185)
242 -> 230 (150)
254 -> 198 (198)
262 -> 91 (199)
265 -> 209 (75)
266 -> 337 (196)
383 -> 129 (75)
398 -> 227 (198)
Fluxo: 1506
Arestas removidas: 31051

--Rotas do 3º turno-----------------------------
14 -> 23 (195)
23 -> 73 (195)
38 -> 262 (199)
46 -> 78 (107)
73 -> 94 (195)
78 -> 28 (107)
79 -> 335 (151)
96 -> 383 (75)
106 -> 46 (107)
107 -> 254 (198)
112 -> 96 (75)
169 -> 79 (151)
209 -> 112 (75)
230 -> 169 (151)
240 -> 365 (185)
242 -> 230 (151)
254 -> 198 (198)
262 -> 91 (199)
265 -> 209 (75)
266 -> 337 (196)
383 -> 129 (75)
398 -> 227 (198)
Fluxo: 1504
Arestas removidas: 31058

--Rotas do 4º turno-----------------------------
14 -> 23 (195)
23 -> 73 (195)
38 -> 262 (199)
46 -> 78 (107)
73 -> 94 (195)
78 -> 28 (107)
79 -> 335 (138)
96 -> 383 (75)
106 -> 46 (107)
107 -> 254 (198)
112 -> 96 (75)
144 -> 304 (121)
156 -> 249 (53)
169 -> 79 (138)
209 -> 112 (75)
230 -> 169 (138)
240 -> 365 (185)
242 -> 230 (138)
249 -> 242 (53)
254 -> 198 (198)
262 -> 91 (199)
265 -> 209 (75)
266 -> 337 (196)
304 -> 266 (121)
383 -> 129 (75)
398 -> 227 (198)
Fluxo: 1491
Arestas removidas: 31072

--Rotas do 5º turno-----------------------------
14 -> 23 (195)
23 -> 73 (195)
38 -> 262 (199)
46 -> 78 (107)
73 -> 94 (195)
78 -> 28 (107)
79 -> 335 (53)
96 -> 383 (75)
106 -> 46 (107)
107 -> 254 (198)
112 -> 96 (75)
144 -> 304 (135)
156 -> 249 (53)
169 -> 79 (53)
209 -> 112 (75)
230 -> 169 (53)
240 -> 365 (185)
242 -> 230 (53)
249 -> 242 (53)
254 -> 198 (198)
262 -> 91 (199)
265 -> 209 (75)
266 -> 337 (135)
304 -> 266 (135)
383 -> 129 (75)
398 -> 227 (198)
Fluxo: 1345
Arestas removidas: 31093

--Rotas do 6º turno-----------------------------
14 -> 23 (195)
23 -> 73 (195)
38 -> 262 (199)
46 -> 78 (107)
73 -> 94 (195)
78 -> 28 (107)
79 -> 335 (53)
96 -> 383 (75)
106 -> 46 (107)
107 -> 254 (198)
