--Rotas do 1º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 2º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 3º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 4º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 5º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 6º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 7º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 8º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 9º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 10º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 11º turno-----------------------------
2 -> 64 (102)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 12º turno-----------------------------
2 -> 64 (102)
9 -> 47 (32)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (107)
60 -> 163 (200)
67 -> 50 (107)
73 -> 136 (194)
87 -> 67 (107)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (107)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1443
Arestas removidas: 3805

--Rotas do 13º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 14º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 15º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 16º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 17º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 18º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 19º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 20º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 21º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 22º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 23º turno-----------------------------
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 24º turno-----------------------------
1 -> 60 (21)
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (200)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1437
Arestas removidas: 3822

--Rotas do 25º turno-----------------------------
1 -> 60 (142)
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (142)
62 -> 10 (67)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1379
Arestas removidas: 3835

--Rotas do 26º turno-----------------------------
1 -> 60 (142)
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (142)
62 -> 10 (193)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
161 -> 125 (193)
199 -> 134 (102)
Fluxo: 1379
Arestas removidas: 3835

--Rotas do 27º turno-----------------------------
1 -> 60 (142)
2 -> 64 (102)
9 -> 47 (101)
10 -> 161 (193)
26 -> 90 (102)
29 -> 194 (194)
47 -> 130 (101)
60 -> 163 (142)
62 -> 10 (193)
67 -> 50 (101)
73 -> 136 (194)
87 -> 67 (101)
96 -> 140 (159)
123 -> 96 (159)
124 -> 23 (192)
126 -> 123 (159)
130 -> 87 (101)
132 -> 2 (102)
134 -> 26 (102)
157 -> 132 (102)
