--Rotas do 1º turno-----------------------------
0 -> 101 (104)
0 -> 186 (66)
1 -> 101 (194)
2 -> 1 (124)
2 -> 13 (77)
2 -> 15 (160)
2 -> 16 (137)
2 -> 18 (99)
2 -> 21 (153)
2 -> 22 (134)
2 -> 23 (136)
2 -> 31 (132)
2 -> 33 (175)
2 -> 34 (139)
2 -> 41 (179)
2 -> 46 (160)
2 -> 60 (105)
2 -> 62 (138)
2 -> 73 (142)
2 -> 75 (189)
2 -> 76 (175)
2 -> 77 (149)
2 -> 79 (146)
2 -> 86 (191)
2 -> 88 (179)
2 -> 90 (127)
2 -> 92 (177)
2 -> 100 (118)
2 -> 102 (199)
2 -> 106 (119)
2 -> 110 (134)
2 -> 111 (139)
2 -> 117 (94)
2 -> 123 (138)
2 -> 125 (150)
2 -> 128 (174)
2 -> 134 (195)
2 -> 141 (162)
2 -> 159 (126)
2 -> 182 (106)
2 -> 194 (123)
2 -> 329 (194)
2 -> 365 (75)
2 -> 387 (72)
3 -> 25 (164)
3 -> 365 (21)
4 -> 25 (102)
4 -> 98 (85)
5 -> 0 (170)
5 -> 1 (70)
5 -> 4 (187)
5 -> 10 (179)
5 -> 12 (168)
5 -> 13 (84)
5 -> 18 (99)
5 -> 19 (96)
5 -> 22 (44)
5 -> 25 (156)
5 -> 45 (83)
5 -> 51 (172)
5 -> 54 (148)
5 -> 59 (175)
5 -> 61 (182)
5 -> 66 (149)
5 -> 72 (188)
5 -> 73 (15)
5 -> 78 (191)
5 -> 81 (169)
5 -> 95 (117)
5 -> 104 (174)
5 -> 108 (194)
5 -> 109 (3)
5 -> 121 (161)
5 -> 125 (19)
5 -> 138 (151)
5 -> 157 (151)
5 -> 159 (150)
5 -> 186 (123)
5 -> 246 (107)
5 -> 249 (148)
5 -> 252 (139)
5 -> 256 (114)
5 -> 275 (22)
5 -> 295 (69)
5 -> 308 (23)
5 -> 312 (96)
5 -> 326 (68)
5 -> 348 (28)
7 -> 25 (190)
7 -> 98 (5)
8 -> 220 (189)
9 -> 98 (150)
9 -> 220 (4)
10 -> 25 (179)
11 -> 7 (195)
11 -> 25 (176)
11 -> 26 (88)
11 -> 28 (151)
11 -> 30 (198)
11 -> 34 (20)
11 -> 39 (166)
11 -> 53 (177)
11 -> 62 (45)
11 -> 74 (126)
11 -> 96 (143)
11 -> 113 (189)
11 -> 116 (151)
11 -> 148 (160)
11 -> 223 (135)
11 -> 252 (48)
11 -> 275 (26)
11 -> 312 (99)
11 -> 385 (142)
12 -> 98 (196)
13 -> 25 (161)
14 -> 8 (116)
14 -> 21 (3)
14 -> 23 (18)
14 -> 25 (110)
14 -> 64 (185)
14 -> 67 (163)
14 -> 80 (110)
14 -> 81 (13)
14 -> 82 (110)
14 -> 98 (130)
14 -> 111 (31)
14 -> 129 (119)
14 -> 133 (178)
14 -> 143 (181)
14 -> 145 (167)
14 -> 161 (171)
14 -> 165 (149)
14 -> 167 (163)
14 -> 168 (171)
14 -> 169 (189)
14 -> 170 (141)
14 -> 176 (163)
14 -> 181 (165)
14 -> 192 (150)
14 -> 200 (154)
14 -> 201 (177)
14 -> 206 (145)
14 -> 207 (137)
14 -> 213 (157)
14 -> 224 (192)
14 -> 226 (168)
14 -> 235 (199)
14 -> 237 (135)
14 -> 260 (193)
14 -> 342 (156)
15 -> 98 (185)
16 -> 25 (137)
18 -> 159 (198)
19 -> 101 (96)
20 -> 12 (28)
20 -> 15 (25)
20 -> 38 (199)
20 -> 39 (3)
20 -> 55 (88)
20 -> 66 (45)
20 -> 67 (2)
20 -> 98 (115)
20 -> 101 (93)
20 -> 120 (171)
20 -> 127 (136)
20 -> 148 (161)
20 -> 151 (155)
20 -> 156 (198)
20 -> 159 (168)
20 -> 166 (123)
20 -> 171 (191)
20 -> 202 (192)
20 -> 220 (192)
20 -> 245 (62)
20 -> 246 (85)
20 -> 324 (143)
21 -> 25 (156)
22 -> 101 (178)
23 -> 101 (154)
24 -> 25 (100)
24 -> 37 (137)
24 -> 70 (164)
24 -> 83 (184)
24 -> 98 (181)
24 -> 122 (97)
24 -> 126 (151)
24 -> 139 (151)
24 -> 141 (30)
24 -> 148 (73)
24 -> 150 (110)
24 -> 162 (191)
24 -> 170 (24)
24 -> 174 (99)
24 -> 180 (152)
24 -> 191 (162)
24 -> 196 (159)
24 -> 218 (163)
24 -> 220 (189)
24 -> 365 (142)
24 -> 385 (35)
26 -> 387 (134)
27 -> 159 (185)
28 -> 202 (123)
28 -> 220 (28)
30 -> 98 (137)
30 -> 159 (61)
31 -> 159 (199)
32 -> 98 (190)
33 -> 220 (175)
34 -> 148 (159)
35 -> 186 (161)
36 -> 25 (66)
36 -> 35 (161)
36 -> 57 (132)
36 -> 97 (172)
36 -> 129 (22)
36 -> 153 (179)
36 -> 160 (163)
36 -> 164 (153)
36 -> 172 (119)
36 -> 173 (172)
36 -> 175 (128)
36 -> 186 (21)
36 -> 187 (97)
36 -> 197 (134)
36 -> 199 (120)
36 -> 202 (63)
36 -> 229 (188)
36 -> 232 (196)
36 -> 242 (110)
36 -> 245 (137)
36 -> 264 (166)
36 -> 265 (141)
36 -> 268 (166)
36 -> 275 (66)
36 -> 278 (186)
36 -> 280 (184)
36 -> 300 (137)
36 -> 321 (161)
36 -> 322 (127)
36 -> 345 (150)
36 -> 387 (92)
37 -> 159 (102)
37 -> 186 (35)
38 -> 98 (197)
38 -> 186 (2)
39 -> 202 (169)
40 -> 9 (154)
40 -> 25 (188)
40 -> 46 (27)
40 -> 55 (48)
40 -> 68 (123)
40 -> 98 (148)
40 -> 124 (179)
40 -> 130 (156)
40 -> 135 (107)
40 -> 140 (136)
40 -> 148 (186)
40 -> 158 (125)
40 -> 159 (68)
40 -> 180 (14)
40 -> 181 (16)
40 -> 193 (156)
40 -> 203 (54)
40 -> 206 (49)
40 -> 210 (102)
40 -> 231 (122)
40 -> 237 (7)
40 -> 243 (197)
40 -> 257 (81)
40 -> 262 (194)
40 -> 272 (174)
40 -> 286 (104)
40 -> 378 (181)
41 -> 159 (131)
41 -> 387 (48)
42 -> 186 (176)
42 -> 220 (2)
43 -> 159 (85)
44 -> 58 (179)
44 -> 69 (197)
44 -> 71 (105)
44 -> 77 (6)
44 -> 107 (131)
44 -> 119 (176)
44 -> 131 (173)
44 -> 147 (154)
44 -> 148 (84)
44 -> 163 (184)
44 -> 177 (137)
44 -> 179 (142)
44 -> 186 (61)
44 -> 189 (157)
44 -> 198 (179)
44 -> 202 (147)
44 -> 211 (190)
44 -> 214 (167)
44 -> 310 (82)
44 -> 348 (151)
45 -> 25 (71)
45 -> 202 (12)
46 -> 220 (187)
47 -> 3 (185)
47 -> 63 (182)
47 -> 106 (18)
47 -> 134 (4)
47 -> 159 (103)
47 -> 387 (81)
48 -> 98 (110)
49 -> 87 (134)
49 -> 98 (176)
49 -> 101 (98)
49 -> 158 (25)
49 -> 186 (65)
49 -> 202 (98)
49 -> 220 (167)
49 -> 387 (86)
50 -> 159 (156)
51 -> 186 (125)
51 -> 202 (47)
52 -> 25 (164)
52 -> 372 (19)
53 -> 220 (152)
53 -> 387 (25)
54 -> 101 (123)
54 -> 202 (25)
55 -> 98 (136)
56 -> 186 (110)
57 -> 159 (104)
57 -> 202 (28)
58 -> 25 (165)
58 -> 159 (14)
59 -> 25 (188)
60 -> 186 (125)
61 -> 98 (180)
61 -> 202 (2)
62 -> 159 (183)
63 -> 98 (116)
63 -> 186 (66)
64 -> 101 (156)
64 -> 220 (29)
65 -> 52 (183)
65 -> 138 (5)
65 -> 142 (177)
65 -> 159 (164)
65 -> 179 (15)
65 -> 186 (175)
65 -> 188 (177)
65 -> 189 (35)
65 -> 202 (147)
65 -> 205 (168)
65 -> 220 (79)
65 -> 223 (13)
65 -> 227 (175)
65 -> 249 (32)
65 -> 288 (173)
65 -> 294 (171)
65 -> 311 (167)
65 -> 314 (89)
65 -> 347 (162)
65 -> 365 (55)
66 -> 101 (194)
67 -> 186 (165)
68 -> 98 (131)
69 -> 98 (181)
69 -> 202 (16)
70 -> 25 (96)
70 -> 98 (68)
71 -> 186 (185)
72 -> 25 (109)
72 -> 101 (79)
73 -> 25 (157)
74 -> 186 (199)
75 -> 159 (130)
75 -> 202 (59)
76 -> 202 (175)
77 -> 202 (155)
78 -> 25 (132)
78 -> 98 (59)
79 -> 25 (194)
80 -> 220 (110)
81 -> 202 (182)
82 -> 202 (110)
83 -> 365 (57)
83 -> 387 (127)
84 -> 148 (89)
84 -> 387 (65)
85 -> 133 (22)
86 -> 98 (155)
86 -> 159 (36)
87 -> 25 (139)
88 -> 25 (117)
88 -> 220 (62)
90 -> 387 (127)
91 -> 25 (27)
91 -> 32 (171)
91 -> 71 (80)
91 -> 122 (97)
91 -> 144 (179)
91 -> 190 (164)
91 -> 196 (19)
91 -> 233 (183)
91 -> 310 (91)
91 -> 317 (123)
91 -> 365 (19)
91 -> 387 (50)
91 -> 392 (123)
92 -> 101 (104)
92 -> 387 (73)
93 -> 25 (56)
93 -> 117 (21)
93 -> 140 (13)
93 -> 146 (126)
93 -> 159 (16)
93 -> 164 (37)
93 -> 172 (43)
93 -> 176 (13)
93 -> 186 (158)
93 -> 208 (136)
93 -> 234 (167)
93 -> 239 (154)
93 -> 247 (119)
93 -> 254 (199)
93 -> 255 (134)
93 -> 264 (32)
93 -> 281 (154)
93 -> 296 (162)
93 -> 298 (187)
93 -> 313 (105)
93 -> 321 (32)
93 -> 325 (152)
93 -> 330 (121)
93 -> 351 (139)
93 -> 365 (144)
93 -> 382 (185)
93 -> 390 (179)
93 -> 398 (100)
94 -> 365 (79)
95 -> 25 (104)
95 -> 100 (13)
96 -> 25 (134)
96 -> 98 (9)
97 -> 98 (165)
97 -> 101 (7)
99 -> 8 (73)
99 -> 25 (85)
99 -> 32 (19)
99 -> 42 (178)
99 -> 68 (8)
99 -> 84 (154)
99 -> 98 (131)
99 -> 101 (182)
99 -> 166 (39)
99 -> 214 (17)
99 -> 220 (126)
99 -> 256 (10)
99 -> 259 (200)
99 -> 268 (17)
99 -> 319 (176)
99 -> 337 (119)
99 -> 346 (180)
99 -> 377 (155)
99 -> 384 (143)
99 -> 386 (175)
99 -> 396 (145)
100 -> 220 (131)
102 -> 101 (150)
102 -> 186 (49)
103 -> 220 (105)
104 -> 387 (174)
106 -> 101 (137)
107 -> 25 (198)
108 -> 202 (194)
109 -> 260 (3)
110 -> 186 (148)
111 -> 25 (170)
112 -> 25 (150)
112 -> 27 (175)
112 -> 222 (109)
112 -> 225 (163)
112 -> 273 (5)
112 -> 293 (180)
112 -> 302 (179)
112 -> 314 (37)
112 -> 323 (186)
112 -> 326 (5)
112 -> 336 (132)
112 -> 365 (61)
113 -> 101 (93)
113 -> 159 (96)
115 -> 25 (171)
115 -> 26 (46)
115 -> 56 (84)
115 -> 159 (137)
115 -> 186 (3)
115 -> 202 (141)
115 -> 219 (192)
115 -> 220 (136)
115 -> 234 (17)
115 -> 269 (152)
115 -> 287 (145)
115 -> 295 (96)
115 -> 307 (175)
115 -> 309 (158)
115 -> 332 (199)
116 -> 186 (168)
117 -> 25 (115)
119 -> 25 (139)
119 -> 159 (37)
120 -> 202 (153)
120 -> 365 (18)
121 -> 98 (153)
121 -> 220 (8)
122 -> 186 (194)
123 -> 101 (138)
124 -> 101 (104)
124 -> 387 (75)
125 -> 202 (169)
126 -> 98 (136)
126 -> 186 (15)
127 -> 186 (184)
128 -> 190 (6)
128 -> 195 (168)
129 -> 25 (141)
130 -> 202 (84)
130 -> 220 (72)
131 -> 101 (157)
131 -> 159 (16)
132 -> 98 (90)
132 -> 101 (43)
132 -> 110 (14)
132 -> 127 (48)
132 -> 148 (191)
132 -> 159 (138)
132 -> 220 (4)
132 -> 228 (151)
132 -> 244 (89)
132 -> 269 (27)
132 -> 285 (125)
132 -> 288 (23)
132 -> 291 (185)
132 -> 292 (167)
132 -> 303 (147)
132 -> 333 (195)
132 -> 336 (35)
132 -> 338 (152)
132 -> 341 (102)
132 -> 342 (36)
132 -> 366 (199)
132 -> 368 (193)
132 -> 370 (169)
132 -> 375 (158)
132 -> 381 (169)
132 -> 387 (39)
132 -> 389 (134)
133 -> 387 (200)
134 -> 365 (199)
135 -> 98 (107)
136 -> 25 (38)
136 -> 56 (26)
136 -> 94 (79)
136 -> 98 (71)
136 -> 183 (131)
136 -> 184 (166)
136 -> 202 (28)
136 -> 204 (189)
136 -> 220 (71)
