--Rotas do 1º turno-----------------------------
0 -> 4 (100)
0 -> 11 (168)
0 -> 13 (75)
0 -> 16 (158)
0 -> 26 (84)
0 -> 37 (163)
0 -> 40 (173)
0 -> 42 (141)
0 -> 57 (163)
0 -> 66 (95)
0 -> 87 (64)
0 -> 112 (130)
0 -> 125 (63)
0 -> 127 (121)
0 -> 137 (117)
0 -> 145 (200)
0 -> 149 (79)
0 -> 168 (66)
0 -> 171 (123)
0 -> 172 (155)
0 -> 177 (45)
0 -> 184 (128)
0 -> 194 (139)
0 -> 196 (87)
1 -> 2 (124)
1 -> 28 (148)
1 -> 37 (4)
1 -> 80 (87)
1 -> 92 (114)
1 -> 112 (65)
1 -> 118 (102)
1 -> 125 (158)
1 -> 129 (124)
1 -> 144 (118)
1 -> 153 (196)
1 -> 155 (107)
1 -> 167 (155)
1 -> 175 (68)
1 -> 177 (54)
1 -> 183 (155)
1 -> 185 (148)
1 -> 194 (23)
2 -> 64 (198)
3 -> 23 (51)
4 -> 64 (69)
4 -> 194 (31)
5 -> 194 (130)
6 -> 2 (74)
6 -> 27 (139)
6 -> 41 (80)
6 -> 49 (181)
6 -> 50 (16)
6 -> 53 (139)
6 -> 56 (153)
6 -> 68 (172)
6 -> 86 (146)
6 -> 90 (35)
6 -> 95 (87)
6 -> 125 (73)
6 -> 128 (121)
6 -> 143 (32)
6 -> 162 (153)
6 -> 164 (56)
6 -> 165 (132)
6 -> 179 (120)
6 -> 183 (16)
6 -> 190 (114)
6 -> 192 (174)
7 -> 23 (120)
7 -> 64 (17)
8 -> 50 (84)
9 -> 5 (109)
9 -> 15 (94)
9 -> 30 (35)
9 -> 51 (130)
9 -> 78 (173)
9 -> 83 (198)
9 -> 84 (195)
9 -> 89 (94)
9 -> 99 (71)
9 -> 134 (132)
9 -> 136 (114)
9 -> 194 (106)
10 -> 3 (51)
10 -> 8 (84)
10 -> 33 (154)
10 -> 38 (93)
10 -> 45 (7)
10 -> 54 (157)
10 -> 56 (17)
10 -> 81 (115)
10 -> 120 (122)
10 -> 147 (118)
10 -> 161 (193)
10 -> 163 (58)
10 -> 165 (38)
11 -> 90 (168)
12 -> 125 (89)
12 -> 163 (78)
13 -> 90 (75)
14 -> 7 (137)
14 -> 18 (193)
14 -> 25 (80)
14 -> 41 (18)
14 -> 90 (89)
14 -> 106 (77)
14 -> 125 (30)
14 -> 136 (175)
14 -> 158 (3)
14 -> 163 (9)
15 -> 136 (94)
16 -> 23 (151)
16 -> 50 (7)
17 -> 125 (136)
17 -> 141 (58)
18 -> 64 (175)
18 -> 140 (18)
19 -> 140 (165)
20 -> 64 (173)
21 -> 136 (181)
22 -> 20 (110)
22 -> 23 (148)
22 -> 33 (13)
22 -> 35 (58)
22 -> 45 (18)
22 -> 87 (108)
22 -> 135 (112)
22 -> 171 (48)
22 -> 182 (180)
24 -> 45 (186)
24 -> 194 (10)
25 -> 45 (80)
26 -> 90 (198)
27 -> 64 (99)
27 -> 163 (40)
28 -> 23 (102)
28 -> 45 (46)
29 -> 55 (93)
29 -> 77 (176)
29 -> 87 (17)
29 -> 96 (138)
29 -> 99 (86)
29 -> 131 (164)
29 -> 140 (153)
29 -> 163 (146)
29 -> 194 (194)
30 -> 50 (184)
31 -> 45 (36)
31 -> 46 (144)
31 -> 95 (82)
31 -> 125 (1)
31 -> 129 (7)
31 -> 168 (47)
32 -> 20 (63)
32 -> 30 (149)
32 -> 44 (90)
32 -> 45 (76)
32 -> 50 (161)
32 -> 52 (186)
32 -> 64 (79)
32 -> 81 (5)
32 -> 90 (25)
32 -> 109 (76)
32 -> 164 (78)
32 -> 176 (37)
33 -> 136 (167)
34 -> 23 (184)
35 -> 23 (58)
36 -> 194 (85)
37 -> 125 (167)
38 -> 125 (93)
39 -> 17 (194)
40 -> 90 (133)
40 -> 125 (40)
41 -> 194 (98)
42 -> 23 (23)
42 -> 50 (19)
42 -> 90 (99)
43 -> 12 (167)
43 -> 34 (76)
43 -> 44 (102)
43 -> 64 (98)
43 -> 125 (63)
43 -> 146 (138)
43 -> 163 (182)
44 -> 125 (192)
46 -> 23 (134)
46 -> 45 (10)
47 -> 59 (193)
47 -> 61 (134)
47 -> 63 (170)
47 -> 74 (168)
47 -> 90 (20)
47 -> 130 (159)
47 -> 134 (41)
47 -> 172 (9)
48 -> 23 (62)
48 -> 55 (46)
48 -> 67 (153)
48 -> 75 (128)
48 -> 120 (7)
48 -> 131 (12)
48 -> 140 (195)
49 -> 194 (181)
51 -> 118 (17)
51 -> 136 (113)
52 -> 90 (152)
52 -> 148 (34)
53 -> 125 (101)
53 -> 163 (38)
54 -> 136 (157)
55 -> 64 (139)
56 -> 136 (170)
57 -> 50 (70)
57 -> 136 (93)
58 -> 125 (116)
58 -> 163 (54)
59 -> 64 (174)
