--Rotas do 1º turno-----------------------------
83 -> 272 (197)
83 -> 311 (131)
83 -> 337 (38)
83 -> 343 (189)
83 -> 392 (27)
84 -> 61 (85)
84 -> 148 (31)
85 -> 148 (82)
85 -> 265 (103)
87 -> 21 (34)
87 -> 30 (30)
87 -> 37 (32)
87 -> 55 (20)
87 -> 65 (39)
87 -> 79 (29)
87 -> 84 (116)
87 -> 93 (19)
87 -> 101 (50)
87 -> 109 (115)
87 -> 121 (5)
87 -> 123 (112)
87 -> 163 (13)
87 -> 182 (129)
87 -> 184 (101)
87 -> 185 (118)
87 -> 201 (19)
87 -> 203 (164)
87 -> 210 (134)
87 -> 214 (63)
87 -> 218 (51)
87 -> 229 (70)
87 -> 243 (81)
87 -> 259 (77)
87 -> 281 (21)
87 -> 292 (123)
87 -> 302 (19)
87 -> 311 (77)
87 -> 314 (103)
87 -> 330 (1)
87 -> 332 (60)
87 -> 350 (115)
87 -> 352 (16)
87 -> 354 (136)
87 -> 356 (98)
87 -> 359 (112)
87 -> 369 (174)
88 -> 41 (33)
88 -> 60 (113)
88 -> 81 (62)
88 -> 107 (139)
88 -> 124 (49)
88 -> 149 (52)
88 -> 157 (58)
88 -> 165 (64)
88 -> 181 (80)
88 -> 193 (175)
88 -> 223 (11)
88 -> 245 (84)
88 -> 246 (14)
88 -> 247 (91)
88 -> 265 (101)
88 -> 278 (189)
88 -> 285 (70)
88 -> 308 (196)
88 -> 310 (104)
88 -> 319 (138)
88 -> 331 (110)
88 -> 343 (56)
89 -> 265 (134)
90 -> 265 (131)
90 -> 311 (57)
91 -> 61 (124)
91 -> 245 (7)
93 -> 311 (88)
94 -> 148 (126)
95 -> 89 (50)
95 -> 153 (10)
95 -> 169 (184)
95 -> 193 (182)
95 -> 240 (104)
95 -> 271 (114)
95 -> 287 (147)
95 -> 296 (105)
95 -> 310 (14)
95 -> 314 (84)
95 -> 324 (141)
95 -> 328 (126)
95 -> 344 (141)
95 -> 360 (198)
95 -> 378 (35)
95 -> 379 (29)
95 -> 380 (117)
95 -> 398 (131)
96 -> 3 (127)
97 -> 61 (124)
98 -> 12 (184)
98 -> 61 (180)
98 -> 70 (93)
98 -> 99 (90)
98 -> 148 (46)
98 -> 165 (67)
98 -> 167 (67)
98 -> 171 (17)
98 -> 172 (112)
98 -> 183 (110)
98 -> 184 (53)
98 -> 198 (136)
98 -> 200 (153)
98 -> 234 (184)
98 -> 266 (96)
98 -> 273 (121)
98 -> 288 (73)
98 -> 301 (157)
98 -> 303 (184)
98 -> 307 (135)
98 -> 311 (71)
98 -> 334 (153)
98 -> 343 (58)
98 -> 345 (72)
98 -> 347 (112)
98 -> 394 (101)
99 -> 3 (189)
100 -> 3 (138)
100 -> 311 (2)
101 -> 148 (50)
102 -> 265 (87)
104 -> 311 (194)
105 -> 341 (157)
106 -> 61 (156)
107 -> 193 (112)
107 -> 265 (27)
108 -> 97 (39)
109 -> 148 (123)
110 -> 61 (97)
110 -> 240 (79)
111 -> 343 (116)
112 -> 245 (189)
113 -> 28 (126)
113 -> 40 (89)
113 -> 89 (84)
113 -> 140 (94)
113 -> 159 (1)
113 -> 245 (161)
113 -> 256 (151)
113 -> 258 (184)
113 -> 284 (129)
113 -> 325 (36)
114 -> 343 (158)
115 -> 3 (172)
117 -> 3 (142)
117 -> 34 (9)
117 -> 53 (10)
117 -> 56 (117)
117 -> 112 (116)
117 -> 251 (38)
117 -> 313 (169)
117 -> 336 (79)
117 -> 357 (64)
117 -> 374 (134)
117 -> 386 (19)
117 -> 393 (88)
117 -> 397 (168)
118 -> 61 (75)
118 -> 265 (118)
119 -> 193 (195)
120 -> 311 (182)
121 -> 3 (166)
122 -> 61 (98)
122 -> 374 (21)
123 -> 61 (181)
124 -> 343 (49)
125 -> 3 (68)
128 -> 148 (170)
129 -> 240 (166)
130 -> 311 (159)
131 -> 240 (98)
131 -> 265 (99)
132 -> 343 (110)
133 -> 61 (120)
134 -> 245 (173)
135 -> 3 (10)
135 -> 18 (2)
135 -> 61 (102)
135 -> 81 (120)
135 -> 110 (176)
135 -> 123 (69)
135 -> 148 (134)
135 -> 179 (119)
135 -> 193 (117)
135 -> 211 (152)
135 -> 235 (10)
135 -> 237 (75)
135 -> 240 (103)
135 -> 245 (40)
135 -> 252 (115)
135 -> 254 (127)
135 -> 261 (192)
135 -> 356 (75)
136 -> 265 (194)
137 -> 193 (63)
137 -> 265 (39)
138 -> 311 (49)
139 -> 343 (144)
140 -> 3 (94)
141 -> 3 (113)
141 -> 311 (55)
142 -> 3 (194)
143 -> 1 (21)
143 -> 3 (82)
143 -> 35 (183)
143 -> 108 (15)
143 -> 172 (38)
143 -> 187 (24)
143 -> 196 (171)
143 -> 202 (181)
143 -> 240 (96)
143 -> 343 (73)
143 -> 370 (3)
143 -> 372 (185)
144 -> 115 (172)
145 -> 202 (2)
146 -> 17 (86)
146 -> 22 (39)
146 -> 61 (71)
146 -> 68 (144)
146 -> 175 (163)
146 -> 188 (113)
146 -> 213 (138)
146 -> 227 (46)
146 -> 234 (7)
146 -> 265 (8)
146 -> 282 (178)
146 -> 290 (37)
146 -> 329 (146)
146 -> 393 (62)
147 -> 343 (163)
149 -> 245 (193)
150 -> 240 (193)
151 -> 3 (136)
151 -> 245 (39)
152 -> 129 (96)
152 -> 148 (31)
152 -> 151 (175)
152 -> 156 (7)
152 -> 198 (6)
152 -> 241 (106)
152 -> 312 (176)
152 -> 353 (161)
153 -> 265 (108)
154 -> 193 (185)
155 -> 61 (164)
156 -> 150 (7)
157 -> 240 (58)
159 -> 311 (151)
160 -> 305 (42)
161 -> 61 (157)
161 -> 265 (34)
162 -> 245 (179)
163 -> 193 (13)
164 -> 240 (84)
164 -> 245 (21)
165 -> 148 (131)
167 -> 343 (67)
168 -> 311 (138)
169 -> 3 (184)
171 -> 265 (54)
172 -> 240 (150)
173 -> 3 (107)
174 -> 148 (194)
175 -> 193 (148)
175 -> 343 (15)
176 -> 122 (119)
176 -> 142 (84)
176 -> 209 (117)
176 -> 265 (182)
176 -> 306 (194)
176 -> 311 (41)
176 -> 343 (136)
177 -> 245 (136)
177 -> 265 (62)
178 -> 265 (108)
178 -> 343 (43)
179 -> 240 (131)
180 -> 3 (188)
