--Rotas do 1º turno-----------------------------
0 -> 133 (146)
1 -> 261 (169)
2 -> 133 (124)
2 -> 967 (76)
3 -> 133 (129)
3 -> 844 (37)
4 -> 0 (146)
4 -> 24 (179)
4 -> 26 (87)
4 -> 33 (138)
4 -> 36 (90)
4 -> 37 (192)
4 -> 38 (141)
4 -> 45 (180)
4 -> 46 (96)
4 -> 52 (197)
4 -> 56 (162)
4 -> 58 (175)
4 -> 64 (175)
4 -> 73 (194)
4 -> 101 (197)
4 -> 181 (193)
4 -> 283 (99)
4 -> 292 (195)
4 -> 338 (109)
4 -> 641 (120)
4 -> 651 (73)
4 -> 669 (16)
4 -> 705 (86)
4 -> 792 (97)
4 -> 844 (179)
4 -> 981 (65)
5 -> 3 (166)
5 -> 12 (168)
5 -> 18 (106)
5 -> 27 (69)
5 -> 41 (146)
5 -> 44 (99)
5 -> 55 (199)
5 -> 56 (1)
5 -> 63 (139)
5 -> 65 (178)
5 -> 71 (167)
5 -> 72 (132)
5 -> 74 (137)
5 -> 80 (189)
5 -> 83 (176)
5 -> 95 (171)
5 -> 105 (134)
5 -> 122 (78)
5 -> 123 (175)
5 -> 129 (166)
5 -> 133 (162)
5 -> 148 (128)
5 -> 154 (103)
5 -> 204 (154)
5 -> 214 (170)
5 -> 228 (131)
5 -> 250 (123)
5 -> 361 (51)
5 -> 392 (148)
5 -> 414 (195)
5 -> 479 (149)
5 -> 536 (167)
5 -> 557 (150)
5 -> 559 (124)
5 -> 614 (62)
5 -> 615 (158)
5 -> 617 (119)
5 -> 624 (17)
5 -> 633 (152)
5 -> 643 (13)
5 -> 660 (67)
5 -> 688 (29)
5 -> 844 (60)
6 -> 706 (19)
6 -> 981 (86)
7 -> 651 (194)
8 -> 133 (160)
9 -> 133 (157)
9 -> 338 (36)
10 -> 338 (95)
11 -> 361 (114)
11 -> 844 (33)
12 -> 338 (168)
13 -> 261 (142)
13 -> 651 (49)
14 -> 338 (133)
15 -> 759 (2)
15 -> 844 (110)
16 -> 320 (144)
16 -> 651 (52)
17 -> 8 (160)
17 -> 14 (133)
17 -> 15 (112)
17 -> 16 (196)
17 -> 23 (192)
17 -> 34 (158)
17 -> 39 (114)
17 -> 63 (44)
17 -> 81 (171)
17 -> 86 (183)
17 -> 111 (136)
17 -> 113 (195)
17 -> 119 (127)
17 -> 129 (12)
17 -> 133 (105)
17 -> 137 (189)
17 -> 139 (150)
17 -> 145 (145)
17 -> 147 (160)
17 -> 156 (187)
17 -> 170 (175)
17 -> 224 (123)
17 -> 274 (167)
17 -> 305 (130)
17 -> 319 (135)
17 -> 361 (141)
17 -> 495 (196)
17 -> 595 (98)
17 -> 614 (120)
17 -> 651 (190)
17 -> 670 (145)
17 -> 673 (120)
17 -> 710 (168)
17 -> 831 (97)
17 -> 835 (141)
17 -> 844 (125)
17 -> 896 (167)
17 -> 939 (54)
17 -> 978 (22)
18 -> 361 (80)
18 -> 844 (26)
20 -> 261 (171)
20 -> 844 (24)
21 -> 338 (99)
21 -> 981 (73)
22 -> 361 (75)
23 -> 261 (176)
23 -> 844 (16)
24 -> 133 (146)
24 -> 361 (33)
26 -> 651 (159)
27 -> 320 (69)
28 -> 320 (104)
29 -> 261 (149)
30 -> 981 (100)
31 -> 981 (152)
33 -> 320 (138)
34 -> 338 (121)
34 -> 797 (37)
35 -> 361 (74)
36 -> 320 (90)
37 -> 338 (112)
37 -> 651 (80)
38 -> 133 (86)
38 -> 967 (55)
39 -> 844 (170)
40 -> 967 (185)
41 -> 844 (176)
42 -> 338 (109)
43 -> 133 (195)
44 -> 651 (99)
45 -> 261 (143)
45 -> 981 (37)
46 -> 844 (96)
47 -> 133 (147)
48 -> 967 (196)
49 -> 309 (151)
50 -> 92 (102)
51 -> 651 (172)
52 -> 361 (187)
52 -> 651 (10)
53 -> 338 (134)
53 -> 361 (32)
54 -> 7 (137)
54 -> 13 (191)
54 -> 28 (104)
54 -> 40 (185)
54 -> 49 (151)
54 -> 70 (150)
54 -> 78 (139)
54 -> 82 (131)
54 -> 84 (125)
54 -> 85 (159)
54 -> 90 (191)
54 -> 103 (148)
54 -> 104 (122)
54 -> 112 (157)
54 -> 118 (168)
54 -> 121 (171)
54 -> 131 (138)
54 -> 135 (154)
54 -> 144 (46)
54 -> 152 (113)
54 -> 165 (127)
54 -> 298 (138)
54 -> 409 (176)
54 -> 434 (174)
54 -> 658 (141)
54 -> 732 (132)
54 -> 742 (161)
54 -> 844 (165)
54 -> 857 (112)
54 -> 920 (130)
54 -> 923 (123)
54 -> 924 (146)
54 -> 938 (32)
54 -> 993 (170)
55 -> 361 (104)
55 -> 844 (95)
56 -> 320 (163)
57 -> 224 (24)
58 -> 261 (138)
58 -> 651 (37)
60 -> 791 (56)
61 -> 1 (118)
61 -> 2 (200)
61 -> 7 (57)
61 -> 11 (147)
61 -> 48 (116)
61 -> 50 (59)
61 -> 69 (144)
61 -> 72 (37)
61 -> 77 (179)
61 -> 88 (167)
61 -> 106 (194)
61 -> 108 (149)
61 -> 114 (131)
61 -> 143 (195)
61 -> 151 (120)
61 -> 153 (198)
61 -> 155 (152)
61 -> 162 (81)
61 -> 168 (148)
61 -> 176 (121)
61 -> 197 (151)
61 -> 221 (179)
61 -> 233 (191)
61 -> 236 (141)
61 -> 261 (117)
61 -> 263 (192)
61 -> 320 (187)
61 -> 338 (104)
61 -> 341 (182)
61 -> 347 (150)
61 -> 402 (168)
61 -> 408 (154)
61 -> 431 (98)
61 -> 461 (105)
61 -> 470 (123)
61 -> 518 (77)
61 -> 522 (183)
61 -> 723 (119)
61 -> 748 (136)
61 -> 763 (143)
61 -> 811 (131)
61 -> 925 (114)
61 -> 927 (160)
61 -> 929 (174)
61 -> 947 (133)
61 -> 956 (179)
61 -> 963 (162)
62 -> 39 (56)
62 -> 53 (166)
62 -> 84 (37)
62 -> 128 (194)
62 -> 141 (177)
62 -> 151 (41)
62 -> 158 (136)
62 -> 172 (179)
62 -> 175 (153)
62 -> 178 (159)
62 -> 198 (149)
62 -> 200 (181)
62 -> 245 (166)
62 -> 254 (144)
62 -> 261 (101)
62 -> 266 (188)
62 -> 269 (140)
62 -> 338 (127)
62 -> 349 (124)
62 -> 419 (107)
62 -> 467 (110)
62 -> 501 (90)
62 -> 502 (186)
62 -> 520 (153)
62 -> 528 (159)
62 -> 544 (110)
62 -> 555 (132)
62 -> 559 (62)
62 -> 570 (163)
62 -> 587 (174)
62 -> 597 (105)
62 -> 605 (127)
62 -> 636 (182)
62 -> 695 (187)
62 -> 702 (181)
62 -> 706 (85)
62 -> 712 (178)
62 -> 717 (162)
62 -> 724 (101)
62 -> 740 (117)
62 -> 748 (63)
62 -> 763 (56)
62 -> 812 (156)
62 -> 815 (129)
62 -> 853 (118)
62 -> 898 (155)
62 -> 900 (141)
62 -> 956 (19)
62 -> 970 (94)
62 -> 981 (136)
63 -> 133 (183)
64 -> 176 (66)
